customer_id,age,gender,city,tenure_months,avg_order_value,total_orders,last_purchase_days_ago,support_tickets,subscription_type,churn
100062,52,Male,Bangalore,111,8365,284,98,49,Gold,0
100063,31,Female,Mumbai,17,3091,56,143,48,Platinum,1
100064,34,Female,Pune,46,583,213,162,23,Basic,1
100065,53,Male,Pune,77,4597,3,384,33,Gold,0
100066,67,Male,Kolkata,11,8582,219,102,18,Basic,0
100067,57,Male,Hyderabad,30,7484,89,401,41,Basic,1
100068,21,Male,Kolkata,101,2991,52,158,0,Silver,0
100069,19,Male,Bangalore,85,1441,364,195,27,Basic,1
100070,23,Male,Pune,74,8706,129,238,13,Silver,1
100071,59,Male,Chennai,62,1853,269,430,43,Basic,0
100072,21,Male,Hyderabad,74,4701,311,544,32,Basic,1
100073,46,Female,Bangalore,62,7584,75,496,24,Basic,1
100074,35,Male,Kolkata,93,4964,372,162,27,Basic,0
100075,43,Male,Delhi,24,7396,192,545,3,Platinum,1
100076,61,Male,Pune,55,7902,120,724,9,Platinum,0
100077,51,Male,Delhi,68,7306,305,518,0,Silver,0
100078,27,Female,Bangalore,21,4067,36,303,9,Silver,0
100079,53,Female,Kolkata,28,5676,286,145,22,Gold,0
100080,31,Male,Chennai,61,4141,131,383,39,Basic,0
100081,48,Female,Pune,112,6598,484,161,47,Silver,0
100082,65,Female,Pune,90,4024,250,222,32,Basic,0
100083,32,Male,Pune,40,2541,389,125,37,Basic,0
100084,25,Female,Delhi,74,9533,90,722,39,Platinum,0
100085,31,Female,Kolkata,52,8117,277,179,40,Silver,0
100086,40,Male,Hyderabad,105,7726,395,349,10,Silver,1
100087,57,Female,Kolkata,99,8624,419,172,30,Basic,0
100088,38,Male,Chennai,75,4156,260,386,42,Basic,0
100089,33,Male,Pune,40,8391,21,632,10,Silver,1
100090,62,Female,Hyderabad,101,3872,130,46,7,Basic,0
100091,35,Male,Bangalore,11,4008,306,27,38,Platinum,0
100092,64,Male,Pune,4,4839,233,225,1,Gold,0
100093,41,Female,Chennai,110,663,124,288,15,Gold,0
100094,43,Male,Bangalore,101,968,193,353,12,Silver,0
100095,42,Female,Delhi,41,3447,178,285,26,Silver,0
100096,62,Female,Chennai,51,3977,428,244,10,Silver,0
100097,58,Female,Mumbai,112,8300,135,308,15,Silver,0
100098,46,Female,Kolkata,37,8886,188,512,26,Platinum,1
100099,32,Male,Delhi,23,9891,471,214,11,Silver,1
100100,62,Male,Delhi,49,7033,189,99,6,Basic,0
100101,18,Male,Kolkata,51,2083,57,269,19,Platinum,1
100102,42,Male,Kolkata,88,9499,343,57,40,Silver,0
100103,24,Female,Mumbai,9,2311,244,33,17,Silver,1
100104,26,Male,Hyderabad,34,6853,256,289,47,Basic,0
100105,41,Male,Bangalore,111,820,418,312,43,Basic,0
100106,18,Male,Mumbai,30,4611,164,409,22,Platinum,0
100107,61,Male,Mumbai,90,7405,392,558,47,Basic,1
100108,25,Male,Pune,85,3609,358,721,7,Basic,1
100109,41,Male,Delhi,113,5358,480,42,27,Basic,0
100110,28,Male,Pune,113,2742,247,297,19,Silver,0
100111,68,Female,Kolkata,55,6585,260,211,3,Silver,0
100112,34,Female,Hyderabad,19,1982,138,168,40,Basic,1
100113,25,Female,Hyderabad,96,3662,196,147,15,Silver,0
100114,52,Male,Delhi,41,8372,335,115,42,Basic,1
100115,52,Male,Kolkata,17,7659,262,552,44,Gold,1
100116,50,Male,Mumbai,117,4135,42,719,11,Gold,0
100117,22,Male,Mumbai,96,7212,279,45,9,Basic,0
100118,59,Male,Mumbai,37,774,415,134,33,Silver,0
100119,56,Male,Chennai,54,9820,237,629,43,Platinum,0
100120,58,Male,Delhi,3,1286,143,696,8,Gold,1
100121,45,Female,Kolkata,51,2125,420,330,49,Gold,1
100122,24,Male,Hyderabad,5,1082,167,722,2,Platinum,0
100123,26,Female,Kolkata,69,9309,460,185,33,Platinum,0
100124,25,Male,Pune,60,2081,245,336,14,Basic,0
100125,29,Female,Bangalore,42,4299,300,672,24,Silver,1
100126,51,Female,Delhi,39,6039,426,130,22,Silver,0
100127,50,Male,Mumbai,71,9152,358,352,32,Basic,0
100128,65,Male,Bangalore,59,6238,275,269,41,Gold,1
100129,40,Male,Kolkata,46,7914,209,159,29,Basic,1
100130,41,Male,Mumbai,41,2288,454,375,15,Platinum,0
100131,54,Male,Mumbai,25,2261,166,431,11,Basic,0
100132,52,Male,Mumbai,98,440,283,46,48,Platinum,0
100133,61,Female,Hyderabad,15,7401,367,668,4,Basic,0
100134,57,Female,Chennai,53,9204,499,627,13,Basic,0
100135,39,Male,Hyderabad,40,435,165,500,1,Basic,0
100136,44,Male,Hyderabad,46,2776,249,720,34,Basic,0
100137,52,Male,Pune,41,9532,308,467,4,Silver,1
100138,18,Female,Mumbai,49,4036,2,553,2,Silver,0
100139,52,Female,Hyderabad,32,2985,344,64,3,Silver,0
100140,54,Male,Hyderabad,116,6966,1,186,47,Basic,1
100141,64,Female,Kolkata,100,3026,31,57,19,Gold,0
100142,31,Female,Mumbai,76,3795,32,415,44,Basic,0
100143,20,Female,Mumbai,76,1228,182,202,12,Basic,0
100144,18,Male,Delhi,103,8687,426,574,19,Basic,1
100145,22,Male,Pune,8,5437,414,527,16,Basic,0
100146,43,Male,Bangalore,118,2695,116,579,16,Silver,1
100147,31,Male,Mumbai,29,7844,359,542,27,Silver,1
100148,56,Male,Chennai,75,8247,81,279,15,Basic,1
100149,44,Male,Delhi,66,2308,193,169,20,Basic,0
100150,26,Female,Bangalore,72,2361,356,90,36,Basic,0
100151,32,Male,Hyderabad,45,4597,117,342,37,Silver,1
100152,32,Female,Hyderabad,102,7028,299,613,19,Silver,0
100153,43,Male,Kolkata,54,5345,222,478,43,Basic,0
100154,59,Female,Bangalore,90,8282,309,605,28,Silver,0
100155,30,Male,Bangalore,64,1913,391,567,29,Silver,0
100156,68,Female,Delhi,3,6696,148,555,14,Basic,0
100157,49,Male,Kolkata,59,3254,463,626,35,Basic,1
100158,56,Female,Delhi,28,6857,150,416,32,Basic,1
100159,66,Female,Delhi,54,8961,220,240,18,Silver,0
100160,69,Female,Chennai,114,5622,359,114,22,Basic,0
100161,49,Male,Mumbai,102,3047,188,568,13,Silver,0
100162,21,Female,Delhi,57,3270,325,202,44,Gold,0
100163,47,Female,Bangalore,76,3975,309,586,39,Basic,1
100164,54,Male,Kolkata,67,5478,456,231,27,Gold,1
100165,40,Female,Mumbai,67,7946,14,435,30,Gold,0
100166,56,Female,Hyderabad,97,3491,90,173,26,Silver,0
100167,62,Female,Delhi,93,7750,187,71,35,Basic,0
100168,32,Male,Chennai,92,2540,42,496,22,Basic,0
100169,60,Male,Hyderabad,9,3470,466,657,37,Basic,1
100170,46,Female,Hyderabad,59,2141,261,446,28,Silver,1
100171,53,Male,Mumbai,28,1207,415,674,18,Silver,1
100172,30,Male,Mumbai,45,5778,304,488,7,Basic,0
100173,49,Female,Kolkata,92,7925,15,473,4,Silver,0
100174,24,Female,Pune,19,9615,4,555,9,Basic,0
100175,68,Male,Pune,64,7923,79,480,45,Basic,0
100176,39,Male,Kolkata,19,9448,489,456,7,Basic,1
100177,45,Male,Kolkata,77,4200,27,28,0,Basic,0
100178,19,Male,Kolkata,110,7106,274,55,12,Silver,0
100179,59,Female,Pune,107,9672,22,510,33,Basic,1
100180,62,Male,Hyderabad,4,4996,374,48,45,Basic,0
100181,23,Male,Delhi,90,9397,337,59,34,Basic,0
100182,45,Female,Bangalore,49,3460,307,444,6,Silver,0
100183,45,Female,Bangalore,17,4139,322,164,13,Basic,1
100184,61,Female,Hyderabad,109,2405,430,454,2,Silver,0
100185,61,Male,Hyderabad,49,9202,422,452,44,Basic,1
100186,37,Male,Delhi,58,4772,309,443,16,Gold,1
100187,47,Female,Hyderabad,37,7422,485,660,15,Platinum,1
100188,28,Male,Pune,101,975,338,725,16,Gold,0
100189,45,Male,Bangalore,114,4911,368,143,8,Basic,0
100190,42,Female,Kolkata,33,4083,293,152,13,Basic,1
100191,56,Male,Hyderabad,115,8664,494,532,16,Gold,0
100192,50,Male,Bangalore,15,9738,48,240,4,Silver,0
100193,18,Female,Pune,69,3525,469,628,41,Silver,0
100194,44,Male,Delhi,67,554,109,546,36,Gold,0
100195,69,Male,Bangalore,52,9484,144,586,4,Basic,1
100196,30,Male,Bangalore,1,5194,179,571,36,Gold,1
100197,58,Female,Chennai,85,4492,475,563,6,Basic,0
100198,20,Male,Bangalore,16,3888,130,697,1,Basic,1
100199,56,Female,Mumbai,16,6287,391,550,4,Gold,1
100200,23,Female,Mumbai,75,5764,198,71,14,Gold,0
100201,25,Female,Bangalore,106,1228,105,716,35,Platinum,1
100202,44,Female,Delhi,1,9923,62,33,40,Silver,0
100203,26,Female,Kolkata,67,1257,254,318,25,Gold,0
100204,54,Female,Kolkata,17,6139,174,569,4,Gold,1
100205,50,Female,Hyderabad,115,8142,226,344,26,Silver,0
100206,68,Male,Delhi,8,6823,250,638,11,Basic,1
100207,59,Female,Bangalore,83,9828,151,552,10,Silver,0
100208,61,Female,Mumbai,82,6626,253,473,10,Silver,0
100209,41,Female,Bangalore,109,8260,127,177,49,Platinum,1
100210,32,Female,Bangalore,5,5891,248,559,28,Silver,1
100211,49,Male,Delhi,74,3796,238,300,45,Silver,0
100212,49,Male,Bangalore,12,2929,70,619,29,Basic,0
100213,41,Female,Delhi,52,7128,346,437,29,Platinum,0
100214,58,Male,Mumbai,114,6777,257,505,38,Basic,1
100215,69,Female,Bangalore,29,963,116,344,0,Silver,1
100216,66,Female,Pune,45,8772,394,384,19,Gold,0
100217,66,Male,Chennai,33,5703,108,56,44,Basic,1
100218,69,Male,Pune,39,9492,344,400,39,Gold,1
100219,29,Male,Mumbai,22,209,284,327,3,Basic,1
100220,56,Female,Pune,79,4793,275,481,0,Silver,0
100221,19,Female,Kolkata,107,9831,37,45,27,Basic,0
100222,20,Male,Delhi,39,5875,146,290,16,Basic,1
100223,66,Female,Chennai,52,6002,331,413,25,Basic,0
100224,54,Female,Mumbai,54,3802,360,54,23,Basic,0
100225,66,Male,Pune,107,4979,125,88,42,Gold,0
100226,34,Male,Chennai,39,2673,395,281,3,Basic,0
100227,66,Female,Mumbai,8,1274,210,604,20,Silver,0
100228,19,Male,Delhi,115,3102,339,253,37,Silver,0
100229,19,Male,Hyderabad,61,7229,72,400,9,Silver,1
100230,45,Female,Hyderabad,34,2970,368,605,7,Basic,1
100231,40,Male,Bangalore,19,5056,211,22,20,Basic,1
100232,54,Male,Mumbai,103,2690,429,429,13,Basic,0
100233,49,Male,Delhi,43,3546,18,166,47,Silver,0
100234,50,Female,Kolkata,58,5473,133,662,5,Basic,0
100235,18,Female,Mumbai,69,3787,364,492,13,Basic,1
100236,36,Male,Pune,102,474,211,568,4,Gold,0
100237,19,Female,Mumbai,72,9921,224,165,33,Basic,0
100238,61,Male,Bangalore,97,7091,316,61,19,Gold,0
100239,43,Female,Kolkata,76,8548,218,251,7,Basic,0
100240,49,Male,Delhi,26,7736,323,532,9,Silver,0
100241,23,Female,Delhi,45,8168,309,443,20,Basic,1
100242,49,Female,Chennai,35,9448,358,537,14,Gold,0
100243,21,Female,Chennai,34,2766,280,488,39,Platinum,1
100244,28,Female,Chennai,22,5508,257,419,31,Basic,1
100245,34,Male,Bangalore,3,2840,377,663,5,Silver,0
100246,55,Female,Delhi,25,9473,2,519,37,Silver,0
100247,41,Female,Bangalore,22,9161,72,138,29,Basic,0
100248,22,Male,Kolkata,78,7594,39,547,40,Silver,0
100249,69,Female,Bangalore,92,8385,81,447,16,Silver,0
100250,51,Male,Bangalore,90,5995,80,401,0,Platinum,0
100251,23,Female,Mumbai,83,5972,323,435,10,Basic,0
100252,39,Male,Chennai,31,4383,187,139,0,Gold,0
100253,28,Male,Bangalore,85,4849,162,720,14,Platinum,1
100254,65,Male,Pune,101,8988,467,100,15,Gold,0
100255,33,Female,Mumbai,5,9469,365,683,10,Silver,0
100256,50,Female,Mumbai,95,852,8,175,30,Silver,0
100257,26,Female,Delhi,108,6232,298,409,48,Silver,0
100258,23,Female,Kolkata,21,8490,45,194,2,Gold,1
100259,33,Male,Chennai,29,8557,339,608,40,Gold,1
100260,46,Male,Kolkata,68,6482,100,335,5,Platinum,0
100261,20,Male,Chennai,95,4928,381,18,16,Basic,0
100262,37,Female,Hyderabad,36,6045,41,601,17,Basic,0
100263,53,Female,Pune,81,1056,19,347,24,Silver,0
100264,36,Male,Chennai,115,2621,277,94,25,Silver,0
100265,43,Female,Pune,114,8575,142,399,6,Silver,0
100266,20,Male,Kolkata,73,5437,133,388,27,Basic,0
100267,36,Male,Mumbai,58,371,430,615,35,Gold,1
100268,37,Male,Mumbai,33,8164,371,478,13,Platinum,1
100269,49,Male,Delhi,69,9756,336,599,43,Basic,0
100270,24,Male,Bangalore,81,8318,181,515,41,Basic,0
100271,69,Male,Mumbai,103,8312,9,687,1,Basic,0
100272,58,Male,Bangalore,111,5963,89,379,36,Silver,0
100273,50,Male,Kolkata,55,8930,386,290,22,Gold,1
100274,57,Female,Pune,43,2262,96,431,45,Silver,1
100275,56,Male,Delhi,89,8893,482,410,18,Silver,0
100276,35,Female,Delhi,6,5225,139,143,13,Basic,1
100277,57,Female,Chennai,59,3360,479,650,15,Gold,1
100278,18,Male,Kolkata,13,3076,3,34,41,Basic,1
100279,28,Female,Bangalore,36,7091,27,515,8,Silver,1
100280,45,Female,Mumbai,12,9510,369,66,31,Silver,0
100281,42,Male,Chennai,45,6459,357,610,28,Basic,1
100282,67,Female,Hyderabad,96,671,470,444,22,Basic,1
100283,40,Male,Bangalore,35,5811,145,273,47,Basic,1
100284,48,Male,Mumbai,76,540,29,439,47,Basic,1
100285,47,Male,Delhi,53,3726,30,511,18,Gold,1
100286,59,Male,Chennai,5,7163,373,479,2,Gold,1
100287,52,Female,Hyderabad,5,4290,271,458,26,Silver,0
100288,24,Male,Mumbai,78,3935,488,223,21,Basic,0
100289,33,Male,Bangalore,106,9585,277,264,47,Gold,1
100290,43,Female,Bangalore,47,6633,151,100,47,Basic,0
100291,65,Male,Mumbai,51,2661,389,185,32,Platinum,1
100292,69,Female,Mumbai,90,5014,427,665,42,Platinum,1
100293,66,Female,Hyderabad,46,5222,70,84,49,Basic,0
100294,19,Male,Bangalore,110,3106,283,232,12,Basic,0
100295,18,Female,Delhi,40,816,90,77,49,Gold,1
100296,65,Female,Kolkata,92,328,267,340,16,Basic,0
100297,29,Female,Pune,50,8930,421,636,46,Gold,0
100298,22,Male,Chennai,89,2666,416,569,13,Gold,0
100299,54,Female,Chennai,72,3654,209,103,4,Basic,0
100300,49,Female,Hyderabad,27,2418,139,697,31,Gold,1
100301,26,Female,Chennai,30,6333,390,80,10,Silver,0
100302,58,Male,Hyderabad,5,1394,304,117,33,Basic,0
100303,52,Female,Delhi,24,1498,358,314,27,Silver,0
100304,36,Male,Mumbai,44,7731,61,674,31,Gold,0
100305,65,Female,Mumbai,47,3450,466,450,8,Silver,1
100306,33,Male,Mumbai,60,5500,104,643,33,Basic,0
100307,20,Female,Kolkata,21,4604,392,721,26,Basic,1
100308,37,Male,Delhi,56,4819,311,441,34,Basic,1
100309,41,Female,Hyderabad,28,6288,153,159,19,Platinum,0
100310,50,Male,Delhi,100,8215,247,494,46,Gold,1
100311,41,Female,Delhi,91,6929,1,48,16,Gold,0
100312,69,Male,Kolkata,26,6962,141,675,48,Silver,1
100313,28,Male,Mumbai,61,7445,105,486,22,Basic,1
100314,66,Male,Mumbai,22,8602,229,3,29,Silver,1
100315,25,Female,Delhi,83,9901,475,90,8,Gold,0
100316,53,Female,Mumbai,38,6017,230,295,15,Gold,0
100317,55,Male,Bangalore,90,4096,227,580,49,Gold,0
100318,57,Female,Bangalore,79,1138,33,134,25,Platinum,1
100319,37,Female,Chennai,27,9682,409,391,19,Basic,1
100320,52,Male,Hyderabad,57,1851,473,671,24,Silver,1
100321,65,Female,Pune,31,1295,81,139,43,Silver,1
100322,42,Female,Pune,114,6621,193,259,42,Silver,0
100323,52,Male,Chennai,5,6106,192,448,35,Basic,0
100324,42,Male,Delhi,74,4336,220,626,9,Silver,1
100325,46,Female,Kolkata,93,8954,217,13,2,Gold,0
100326,35,Female,Delhi,50,8052,374,36,20,Basic,0
100327,63,Female,Mumbai,99,6886,254,25,32,Silver,0
100328,35,Male,Chennai,18,7890,77,253,1,Basic,1
100329,19,Female,Chennai,51,374,91,506,29,Silver,1
100330,52,Female,Pune,44,993,347,176,4,Silver,0
100331,33,Male,Delhi,9,512,425,636,29,Basic,1
100332,58,Male,Delhi,44,5458,267,650,25,Silver,0
100333,53,Male,Mumbai,37,1754,9,53,45,Platinum,0
100334,50,Female,Chennai,44,3669,132,331,41,Silver,0
100335,21,Male,Mumbai,38,7545,185,637,36,Basic,0
100336,50,Male,Chennai,57,9344,266,353,40,Silver,0
100337,31,Female,Chennai,117,5074,67,400,0,Basic,0
100338,38,Male,Bangalore,119,6296,272,176,21,Basic,0
100339,65,Male,Kolkata,14,262,149,30,7,Silver,0
100340,37,Male,Chennai,86,9476,159,193,49,Basic,1
100341,25,Female,Mumbai,98,4481,53,51,36,Basic,0
100342,24,Female,Pune,14,3510,154,181,36,Basic,0
100343,20,Male,Kolkata,75,4135,468,233,12,Basic,1
100344,34,Male,Kolkata,104,7876,52,578,1,Gold,0
100345,50,Female,Kolkata,85,9579,311,359,22,Silver,0
100346,65,Male,Kolkata,101,4692,299,72,15,Basic,0
100347,29,Male,Kolkata,8,7121,337,230,3,Silver,0
100348,68,Male,Chennai,110,8431,276,80,32,Basic,0
100349,39,Male,Kolkata,115,1443,429,222,42,Silver,1
100350,39,Female,Delhi,83,1501,136,542,2,Platinum,1
100351,63,Male,Bangalore,32,6310,338,583,16,Silver,0
100352,47,Female,Delhi,113,4374,226,696,48,Basic,1
100353,55,Female,Chennai,47,6816,124,592,10,Basic,0
100354,55,Male,Pune,39,1770,197,50,26,Platinum,0
100355,62,Female,Delhi,85,7337,109,625,10,Basic,0
100356,68,Female,Mumbai,82,4847,20,404,28,Basic,1
100357,25,Female,Pune,42,331,334,530,36,Basic,1
100358,44,Male,Delhi,109,1882,291,202,23,Silver,0
100359,44,Female,Pune,55,847,17,80,35,Basic,0
100360,51,Female,Pune,89,1886,387,25,35,Silver,0
100361,38,Male,Delhi,48,7152,403,647,8,Gold,1
100362,47,Male,Kolkata,50,1030,171,601,35,Platinum,1
100363,50,Female,Bangalore,56,1977,23,591,29,Silver,1
100364,45,Female,Delhi,15,3013,118,474,12,Silver,1
100365,64,Male,Bangalore,58,9809,381,3,45,Silver,1
100366,50,Male,Delhi,28,9683,48,240,49,Basic,1
100367,22,Female,Chennai,62,8412,378,71,39,Silver,0
100368,65,Male,Bangalore,57,4673,174,70,22,Gold,0
100369,36,Female,Bangalore,46,3968,398,522,19,Gold,0
100370,21,Female,Hyderabad,42,6978,121,677,5,Gold,0
100371,52,Female,Pune,48,4921,9,592,35,Silver,1
100372,66,Female,Chennai,70,5227,182,483,5,Basic,1
100373,34,Male,Bangalore,90,9556,107,135,35,Silver,0
100374,61,Male,Hyderabad,55,8451,61,39,0,Silver,0
100375,45,Male,Kolkata,90,9887,44,561,30,Basic,1
100376,47,Male,Chennai,104,7262,26,294,34,Silver,1
100377,46,Female,Bangalore,91,6911,352,330,36,Silver,0
100378,63,Male,Pune,79,5807,432,360,43,Gold,1
100379,23,Female,Hyderabad,82,3561,130,219,8,Basic,0
100380,52,Female,Delhi,113,8555,137,278,18,Basic,0
100381,58,Female,Pune,10,8143,11,319,42,Silver,0
100382,54,Female,Delhi,100,7622,467,579,36,Basic,1
100383,41,Female,Chennai,97,1154,375,617,23,Basic,1
100384,46,Female,Hyderabad,113,6469,342,545,0,Basic,1
100385,66,Male,Hyderabad,52,2896,464,575,33,Silver,0
100386,63,Female,Kolkata,113,8013,36,331,48,Basic,1
100387,48,Female,Hyderabad,12,2945,156,437,47,Basic,1
100388,52,Female,Chennai,43,1776,369,169,43,Silver,1
100389,50,Female,Bangalore,93,6445,165,724,33,Silver,0
100390,69,Female,Mumbai,18,3721,336,417,14,Silver,0
100391,38,Female,Delhi,23,9983,70,339,25,Basic,1
100392,49,Male,Bangalore,53,4550,477,300,21,Silver,1
100393,40,Female,Chennai,105,441,427,502,35,Gold,0
100394,50,Female,Hyderabad,103,577,288,684,11,Silver,1
100395,20,Female,Bangalore,104,2416,211,172,30,Silver,0
100396,35,Male,Mumbai,12,7403,238,363,35,Silver,0
100397,42,Female,Pune,49,8757,432,165,16,Basic,1
100398,59,Male,Bangalore,60,289,480,556,19,Silver,0
100399,48,Male,Pune,43,6968,185,193,33,Basic,1
100400,20,Female,Mumbai,119,2108,80,350,43,Platinum,0
100401,57,Female,Pune,97,6809,38,415,29,Gold,1
100402,63,Female,Chennai,112,1245,165,378,19,Silver,1
100403,41,Female,Mumbai,71,5384,235,661,10,Basic,1
100404,67,Female,Mumbai,43,9706,220,608,11,Basic,1
100405,49,Female,Pune,41,560,98,461,39,Platinum,0
100406,64,Male,Chennai,65,8362,102,359,16,Silver,0
100407,39,Female,Kolkata,57,4951,350,362,4,Silver,0
100408,40,Female,Hyderabad,62,8939,147,233,32,Basic,0
100409,19,Female,Pune,102,8766,427,325,3,Silver,0
100410,44,Female,Bangalore,90,8126,330,372,46,Silver,0
100411,59,Female,Mumbai,62,827,32,189,29,Basic,0
100412,19,Female,Delhi,98,291,7,124,37,Silver,0
100413,43,Female,Delhi,67,2767,310,710,32,Silver,1
100414,34,Male,Kolkata,18,6630,444,708,47,Platinum,1
100415,57,Male,Pune,54,2644,7,459,40,Basic,0
100416,50,Male,Kolkata,75,8432,294,222,43,Basic,1
100417,26,Female,Delhi,88,9491,67,503,4,Basic,0
100418,60,Male,Hyderabad,56,3539,64,678,32,Basic,0
100419,65,Male,Delhi,54,1534,480,423,12,Gold,0
100420,56,Female,Hyderabad,81,7622,111,94,46,Silver,0
100421,46,Female,Delhi,32,9120,278,184,44,Basic,1
100422,59,Male,Bangalore,26,4074,144,691,37,Basic,0
100423,43,Female,Mumbai,1,2616,198,535,7,Basic,1
100424,52,Male,Delhi,94,1935,122,685,26,Basic,1
100425,67,Male,Mumbai,105,561,303,380,19,Basic,0
100426,42,Female,Kolkata,18,7027,301,452,9,Basic,0
100427,41,Female,Chennai,21,8945,342,487,15,Gold,0
100428,30,Female,Bangalore,92,7596,174,531,12,Platinum,0
100429,24,Male,Hyderabad,87,8192,409,482,12,Basic,0
100430,53,Male,Kolkata,28,3639,232,334,41,Basic,1
100431,62,Female,Delhi,21,5960,60,184,23,Silver,0
100432,37,Male,Pune,76,5623,443,305,14,Silver,1
100433,18,Female,Kolkata,54,5694,421,641,31,Basic,0
100434,25,Female,Delhi,79,4905,291,208,12,Basic,0
100435,63,Male,Bangalore,117,4720,109,436,2,Silver,0
100436,33,Female,Chennai,41,7437,171,311,11,Gold,0
100437,31,Male,Bangalore,79,6980,86,725,39,Gold,1
100438,29,Male,Mumbai,54,3492,6,219,9,Silver,1
100439,68,Male,Kolkata,46,293,124,364,23,Platinum,0
100440,40,Female,Kolkata,91,4650,229,384,12,Basic,0
100441,32,Male,Chennai,90,7890,144,253,31,Silver,0
100442,45,Male,Bangalore,66,9165,369,422,21,Silver,1
100443,51,Male,Mumbai,5,6492,19,157,34,Basic,1
100444,19,Female,Kolkata,41,9396,498,292,48,Platinum,0
100445,49,Female,Hyderabad,115,9694,60,447,31,Silver,0
100446,40,Female,Hyderabad,82,962,47,157,41,Basic,0
100447,39,Male,Mumbai,84,5000,344,666,15,Platinum,1
100448,68,Male,Delhi,5,7910,32,577,14,Basic,1
100449,42,Male,Pune,34,8890,184,293,17,Silver,0
100450,39,Male,Pune,113,2428,383,555,23,Basic,0
100451,39,Male,Kolkata,22,3334,424,395,15,Platinum,1
100452,66,Male,Mumbai,105,7551,340,73,46,Gold,0
